id,name_CHN,start date,end date,subject type,alma mater
1138242,陳至立,1964 / 9,1966 / 7,自然科學,中國科學院上海硅酸鹽化學與工業研究所電介質專業（自然科學．化學，相當於碩士研究生）
1138242,陳至立,1980 / 8,1982 / 12,自然科學,美國賓夕法尼亞州立大學材料研究所訪問學者
1138242,陳至立,2001 / 9,2001 / 11,未知,中央黨校進修一班學習
1143449,陳肇雄,,1982,,華東工學院學士
1143449,陳肇雄,1982,1985,,中國科技大學研究生院計算所碩士
1143449,陳肇雄,1985,1989,,中國科學院計算所博士
1144441,陳肇博,1956,1961,自然科學,列寧格勒大學地質系
1144435,陳耕,,1968 / 12,經濟與管理,北京經濟學院勞動經濟專業(現更名為首都經濟貿易大學)
1138365,陳耀邦,1950,,自然科學,廣東仲愷農校學習
1138365,陳耀邦,1953,1957,自然科學,華中農學院 植物保護專業
1138365,陳耀邦,,1966,自然科學,華中農學院植物病理及農用抗菌素專業研究生學習
1158007,陳耀輝,,,人文科學,東北師範大學文學院博士研究生，文學博士
1140706,陳耀先,,1961,經濟與管理,吉林財貿學院
1173303,陳義興,,,,中央黨校研究生
1166677,陳群,,1984,,南京大學化學系獲得學士
