id,name_CHN,name_PINYIN,sex,ethnicity,edu,studying_abroad,studying_abroad_country,birthdate,deathdate,ancestral hometown,professional title,date of starting to work,birthplace,party,date of joining the party,CYL,special relationships,notes
1139187,張曉強,Zhang Xiaoqiang,男,漢族,大學本科,,,1952/12,,江蘇 南京,,1969,,中國共產黨,,否,,張雲逸孫，原國家核工業部第四局副局長張遠之之子。張遠之與張曉強共同出席十大將的子女們釣魚臺大酒店聚會紀實，http://1home.hainan.net/techforum/Content/419/134.shtml。
1144393,張曉剛,Zhang Xiaogang,男,漢族,研究生,,,1954/12,,遼寧 遼陽,,1970/12,,中國共產黨,1973/3,否,,
1157816,張曉兵,Zhang Xiaobing,男,漢族,研究生,,,1971/11,,山東,,1993/7,,中國共產黨,1991/6,,,
1143588,張智全,Zhang Zhiquan,男,漢族,大學專科,,,1962/10,,甘肅 隴西,,1981/8,,,,,,
1158060,張晶瑩,Zhang Jingying,男,漢族,研究生,,,1971/8,,,,,,中國共產黨,,正副處級,,曾獲吉林省傑出青年基金
1144715,張景輝,Zhang Jinghui,,漢族,研究生,,,1954/1,,河北 深澤,,,,中國共產黨,,,,出生於甘肅蘭州
1141993,張景華,Zhang Jinghua,男,漢族,,,,1923,,山東汶上,,1939,,中國共產黨,1939,否,,
1138843,張昭若,Zhang Zhaoruo,男,漢族,大學本科,否,,1931,,,,,,中國共產黨,1950,否,,
1141006,張昭福,Zhang Zhaofu,男,漢族,大學本科,否,,1946/6,,山東 高密,少將,1968/3,,中國共產黨,1969/9,否,,
1138280,張春賢,Zhang Chunxian,男,漢族,研究生,,,1953/5,,河南 禹州,工程師,1970/12,河南 禹州,中國共產黨,1973/11,否,,"1.職級：正省級2.從政前職業：機械技術人員3.出生地：河南省禹州縣4.管理學碩士"5.高級工程師
1139149,張春江,Zhang Chunjiang,,,,否,,,,,,,,,,否,,
